ADMIN2,CONTINENT,INCOME_GRP,count,rate,source,source_country,orientation
United Kingdom,Europe,1. High income: OECD,27,1.5455065827132226,Figaro,France,Center right
United Republic of Tanzania,Africa,5. Low income,1,0.05724098454493417,Figaro,France,Center right
United States of America,North America,1. High income: OECD,11,0.6296508299942759,Figaro,France,Center right
Vatican,Europe,2. High income: nonOECD,1,0.05724098454493417,Figaro,France,Center right
Venezuela,South America,3. Upper middle income,1,0.05724098454493417,Figaro,France,Center right
Afghanistan,Asia,5. Low income,13,0.5142405063291139,Fox News,United States of America,Center right
Armenia,Asia,4. Lower middle income,1,0.03955696202531646,Fox News,United States of America,Center right
Australia,Oceania,1. High income: OECD,7,0.27689873417721517,Fox News,United States of America,Center right
Austria,Europe,1. High income: OECD,1,0.03955696202531646,Fox News,United States of America,Center right
Barbados,North America,2. High income: nonOECD,2,0.07911392405063292,Fox News,United States of America,Center right
Canada,North America,1. High income: OECD,2,0.07911392405063292,Fox News,United States of America,Center right
Chad,Africa,5. Low income,2,0.07911392405063292,Fox News,United States of America,Center right
Chile,South America,3. Upper middle income,1,0.03955696202531646,Fox News,United States of America,Center right
China,Asia,3. Upper middle income,37,1.4636075949367089,Fox News,United States of America,Center right
Cuba,North America,3. Upper middle income,3,0.11867088607594936,Fox News,United States of America,Center right
Cyprus,Asia,2. High income: nonOECD,1,0.03955696202531646,Fox News,United States of America,Center right
Democratic Republic of the Congo,Africa,5. Low income,21,0.8306962025316454,Fox News,United States of America,Center right
Ecuador,South America,3. Upper middle income,1,0.03955696202531646,Fox News,United States of America,Center right
Eritrea,Africa,5. Low income,5,0.19778481012658228,Fox News,United States of America,Center right
Estonia,Europe,1. High income: OECD,3,0.11867088607594936,Fox News,United States of America,Center right
Finland,Europe,1. High income: OECD,1,0.03955696202531646,Fox News,United States of America,Center right
France,Europe,1. High income: OECD,4,0.15822784810126583,Fox News,United States of America,Center right
Georgia,Asia,4. Lower middle income,12,0.4746835443037975,Fox News,United States of America,Center right
Guam,Oceania,2. High income: nonOECD,2,0.07911392405063292,Fox News,United States of America,Center right
Haiti,North America,5. Low income,2,0.07911392405063292,Fox News,United States of America,Center right
Hong Kong S.A.R.,Asia,2. High income: nonOECD,4,0.15822784810126583,Fox News,United States of America,Center right
India,Asia,4. Lower middle income,20,0.7911392405063291,Fox News,United States of America,Center right
Indonesia,Asia,4. Lower middle income,2,0.07911392405063292,Fox News,United States of America,Center right
Iran,Asia,3. Upper middle income,34,1.3449367088607596,Fox News,United States of America,Center right
Iraq,Asia,4. Lower middle income,3,0.11867088607594936,Fox News,United States of America,Center right
Israel,Asia,1. High income: OECD,3,0.11867088607594936,Fox News,United States of America,Center right
Italy,Europe,1. High income: OECD,5,0.19778481012658228,Fox News,United States of America,Center right
Japan,Asia,1. High income: OECD,3,0.11867088607594936,Fox News,United States of America,Center right
Jersey,Europe,2. High income: nonOECD,1,0.03955696202531646,Fox News,United States of America,Center right
Jordan,Asia,3. Upper middle income,6,0.23734177215189875,Fox News,United States of America,Center right
Kenya,Africa,5. Low income,1,0.03955696202531646,Fox News,United States of America,Center right
Liberia,Africa,5. Low income,43,1.7009493670886076,Fox News,United States of America,Center right
Mali,Africa,5. Low income,2,0.07911392405063292,Fox News,United States of America,Center right
Mexico,North America,3. Upper middle income,8,0.31645569620253167,Fox News,United States of America,Center right
Monaco,Europe,2. High income: nonOECD,2,0.07911392405063292,Fox News,United States of America,Center right
New Zealand,Oceania,1. High income: OECD,2,0.07911392405063292,Fox News,United States of America,Center right
Niue,Oceania,3. Upper middle income,1,0.03955696202531646,Fox News,United States of America,Center right
North Korea,Asia,5. Low income,1,0.03955696202531646,Fox News,United States of America,Center right
Oman,Asia,2. High income: nonOECD,1,0.03955696202531646,Fox News,United States of America,Center right
Palau,Oceania,3. Upper middle income,1,0.03955696202531646,Fox News,United States of America,Center right
Paraguay,South America,4. Lower middle income,2,0.07911392405063292,Fox News,United States of America,Center right
Poland,Europe,1. High income: OECD,6,0.23734177215189875,Fox News,United States of America,Center right
Portugal,Europe,1. High income: OECD,1,0.03955696202531646,Fox News,United States of America,Center right
Russia,Europe,3. Upper middle income,24,0.949367088607595,Fox News,United States of America,Center right
South Africa,Africa,3. Upper middle income,2,0.07911392405063292,Fox News,United States of America,Center right
South Korea,Asia,1. High income: OECD,3,0.11867088607594936,Fox News,United States of America,Center right
Syria,Asia,4. Lower middle income,2,0.07911392405063292,Fox News,United States of America,Center right
Taiwan,Asia,2. High income: nonOECD,4,0.15822784810126583,Fox News,United States of America,Center right
Turkey,Asia,3. Upper middle income,1,0.03955696202531646,Fox News,United States of America,Center right
Ukraine,Europe,4. Lower middle income,16,0.6329113924050633,Fox News,United States of America,Center right
United Kingdom,Europe,1. High income: OECD,64,2.5316455696202533,Fox News,United States of America,Center right
Afghanistan,Asia,5. Low income,5,0.1892505677517033,The Guardian,United Kingdom,Center left
Australia,Oceania,1. High income: OECD,59,2.2331566994700984,The Guardian,United Kingdom,Center left
Austria,Europe,1. High income: OECD,4,0.1514004542013626,The Guardian,United Kingdom,Center left
Bangladesh,Asia,5. Low income,2,0.0757002271006813,The Guardian,United Kingdom,Center left
Barbados,North America,2. High income: nonOECD,10,0.3785011355034065,The Guardian,United Kingdom,Center left
Belarus,Europe,3. Upper middle income,4,0.1514004542013626,The Guardian,United Kingdom,Center left
Belgium,Europe,1. High income: OECD,6,0.22710068130204392,The Guardian,United Kingdom,Center left
Bhutan,Asia,4. Lower middle income,1,0.03785011355034065,The Guardian,United Kingdom,Center left
Bosnia and Herzegovina,Europe,3. Upper middle income,4,0.1514004542013626,The Guardian,United Kingdom,Center left
Brazil,South America,3. Upper middle income,3,0.11355034065102196,The Guardian,United Kingdom,Center left
Cameroon,Africa,4. Lower middle income,1,0.03785011355034065,The Guardian,United Kingdom,Center left
Canada,North America,1. High income: OECD,11,0.4163512490537472,The Guardian,United Kingdom,Center left
Chile,South America,3. Upper middle income,5,0.1892505677517033,The Guardian,United Kingdom,Center left
China,Asia,3. Upper middle income,60,2.2710068130204393,The Guardian,United Kingdom,Center left
Colombia,South America,3. Upper middle income,3,0.11355034065102196,The Guardian,United Kingdom,Center left
Cook Islands,Oceania,3. Upper middle income,1,0.03785011355034065,The Guardian,United Kingdom,Center left
Czechia,Europe,1. High income: OECD,2,0.0757002271006813,The Guardian,United Kingdom,Center left
Democratic Republic of the Congo,Africa,5. Low income,11,0.4163512490537472,The Guardian,United Kingdom,Center left
Denmark,Europe,1. High income: OECD,8,0.3028009084027252,The Guardian,United Kingdom,Center left
Dominica,North America,3. Upper middle income,1,0.03785011355034065,The Guardian,United Kingdom,Center left
Dominican Republic,North America,3. Upper middle income,1,0.03785011355034065,The Guardian,United Kingdom,Center left
El Salvador,North America,4. Lower middle income,2,0.0757002271006813,The Guardian,United Kingdom,Center left
Eritrea,Africa,5. Low income,7,0.26495079485238454,The Guardian,United Kingdom,Center left
Estonia,Europe,1. High income: OECD,2,0.0757002271006813,The Guardian,United Kingdom,Center left
Fiji,Oceania,4. Lower middle income,2,0.0757002271006813,The Guardian,United Kingdom,Center left
Finland,Europe,1. High income: OECD,3,0.11355034065102196,The Guardian,United Kingdom,Center left
France,Europe,1. High income: OECD,31,1.17335352006056,The Guardian,United Kingdom,Center left
Gabon,Africa,3. Upper middle income,1,0.03785011355034065,The Guardian,United Kingdom,Center left
Gambia,Africa,5. Low income,2,0.0757002271006813,The Guardian,United Kingdom,Center left
Georgia,Asia,4. Lower middle income,2,0.0757002271006813,The Guardian,United Kingdom,Center left
Germany,Europe,1. High income: OECD,42,1.5897047691143074,The Guardian,United Kingdom,Center left
Ghana,Africa,4. Lower middle income,1,0.03785011355034065,The Guardian,United Kingdom,Center left
Greece,Europe,1. High income: OECD,2,0.0757002271006813,The Guardian,United Kingdom,Center left
Guernsey,Europe,2. High income: nonOECD,1,0.03785011355034065,The Guardian,United Kingdom,Center left
Guinea,Africa,5. Low income,2,0.0757002271006813,The Guardian,United Kingdom,Center left
Hong Kong S.A.R.,Asia,2. High income: nonOECD,18,0.6813020439061317,The Guardian,United Kingdom,Center left
Hungary,Europe,1. High income: OECD,3,0.11355034065102196,The Guardian,United Kingdom,Center left
India,Asia,4. Lower middle income,40,1.514004542013626,The Guardian,United Kingdom,Center left
Indonesia,Asia,4. Lower middle income,2,0.0757002271006813,The Guardian,United Kingdom,Center left
Iran,Asia,3. Upper middle income,22,0.8327024981074944,The Guardian,United Kingdom,Center left
Iraq,Asia,4. Lower middle income,1,0.03785011355034065,The Guardian,United Kingdom,Center left
Ireland,Europe,1. High income: OECD,16,0.6056018168054504,The Guardian,United Kingdom,Center left
Israel,Asia,1. High income: OECD,11,0.4163512490537472,The Guardian,United Kingdom,Center left
Italy,Europe,1. High income: OECD,13,0.4920514761544285,The Guardian,United Kingdom,Center left
Jamaica,North America,3. Upper middle income,2,0.0757002271006813,The Guardian,United Kingdom,Center left
Japan,Asia,1. High income: OECD,17,0.6434519303557911,The Guardian,United Kingdom,Center left
Jersey,Europe,2. High income: nonOECD,1,0.03785011355034065,The Guardian,United Kingdom,Center left
Jordan,Asia,3. Upper middle income,1,0.03785011355034065,The Guardian,United Kingdom,Center left
Kenya,Africa,5. Low income,3,0.11355034065102196,The Guardian,United Kingdom,Center left
Kiribati,Oceania,4. Lower middle income,1,0.03785011355034065,The Guardian,United Kingdom,Center left
Kuwait,Asia,2. High income: nonOECD,1,0.03785011355034065,The Guardian,United Kingdom,Center left
Latvia,Europe,3. Upper middle income,2,0.0757002271006813,The Guardian,United Kingdom,Center left
Liberia,Africa,5. Low income,3,0.11355034065102196,The Guardian,United Kingdom,Center left
Mali,Africa,5. Low income,2,0.0757002271006813,The Guardian,United Kingdom,Center left
Malta,Europe,2. High income: nonOECD,2,0.0757002271006813,The Guardian,United Kingdom,Center left
Mexico,North America,3. Upper middle income,6,0.22710068130204392,The Guardian,United Kingdom,Center left
Myanmar,Asia,5. Low income,8,0.3028009084027252,The Guardian,United Kingdom,Center left
Netherlands,Europe,1. High income: OECD,7,0.26495079485238454,The Guardian,United Kingdom,Center left
New Caledonia,Oceania,2. High income: nonOECD,6,0.22710068130204392,The Guardian,United Kingdom,Center left
New Zealand,Oceania,1. High income: OECD,25,0.9462528387585164,The Guardian,United Kingdom,Center left
Nicaragua,North America,4. Lower middle income,1,0.03785011355034065,The Guardian,United Kingdom,Center left
Niger,Africa,5. Low income,6,0.22710068130204392,The Guardian,United Kingdom,Center left
Nigeria,Africa,4. Lower middle income,8,0.3028009084027252,The Guardian,United Kingdom,Center left
Niue,Oceania,3. Upper middle income,1,0.03785011355034065,The Guardian,United Kingdom,Center left
Norway,Europe,1. High income: OECD,8,0.3028009084027252,The Guardian,United Kingdom,Center left
Oman,Asia,2. High income: nonOECD,1,0.03785011355034065,The Guardian,United Kingdom,Center left
Pakistan,Asia,4. Lower middle income,1,0.03785011355034065,The Guardian,United Kingdom,Center left
Palau,Oceania,3. Upper middle income,1,0.03785011355034065,The Guardian,United Kingdom,Center left
Papua New Guinea,Oceania,4. Lower middle income,2,0.0757002271006813,The Guardian,United Kingdom,Center left
Paraguay,South America,4. Lower middle income,1,0.03785011355034065,The Guardian,United Kingdom,Center left
Poland,Europe,1. High income: OECD,15,0.5677517032551098,The Guardian,United Kingdom,Center left
Portugal,Europe,1. High income: OECD,4,0.1514004542013626,The Guardian,United Kingdom,Center left
Qatar,Asia,2. High income: nonOECD,6,0.22710068130204392,The Guardian,United Kingdom,Center left
Republic of Serbia,Europe,3. Upper middle income,8,0.3028009084027252,The Guardian,United Kingdom,Center left
Russia,Europe,3. Upper middle income,41,1.5518546555639667,The Guardian,United Kingdom,Center left
Rwanda,Africa,5. Low income,1,0.03785011355034065,The Guardian,United Kingdom,Center left
Saint Helena,Seven seas (open ocean),4. Lower middle income,1,0.03785011355034065,The Guardian,United Kingdom,Center left
Saudi Arabia,Asia,2. High income: nonOECD,8,0.3028009084027252,The Guardian,United Kingdom,Center left
Sierra Leone,Africa,5. Low income,3,0.11355034065102196,The Guardian,United Kingdom,Center left
Singapore,Asia,2. High income: nonOECD,3,0.11355034065102196,The Guardian,United Kingdom,Center left
Slovakia,Europe,1. High income: OECD,4,0.1514004542013626,The Guardian,United Kingdom,Center left
South Africa,Africa,3. Upper middle income,19,0.7191521574564724,The Guardian,United Kingdom,Center left
South Korea,Asia,1. High income: OECD,16,0.6056018168054504,The Guardian,United Kingdom,Center left
Spain,Europe,1. High income: OECD,10,0.3785011355034065,The Guardian,United Kingdom,Center left
Sri Lanka,Asia,4. Lower middle income,3,0.11355034065102196,The Guardian,United Kingdom,Center left
Sudan,Africa,4. Lower middle income,1,0.03785011355034065,The Guardian,United Kingdom,Center left
Sweden,Europe,1. High income: OECD,3,0.11355034065102196,The Guardian,United Kingdom,Center left
Switzerland,Europe,1. High income: OECD,2,0.0757002271006813,The Guardian,United Kingdom,Center left
Syria,Asia,4. Lower middle income,1,0.03785011355034065,The Guardian,United Kingdom,Center left
Taiwan,Asia,2. High income: nonOECD,6,0.22710068130204392,The Guardian,United Kingdom,Center left
Thailand,Asia,3. Upper middle income,4,0.1514004542013626,The Guardian,United Kingdom,Center left
Turkey,Asia,3. Upper middle income,7,0.26495079485238454,The Guardian,United Kingdom,Center left
Ukraine,Europe,4. Lower middle income,15,0.5677517032551098,The Guardian,United Kingdom,Center left
United Arab Emirates,Asia,2. High income: nonOECD,2,0.0757002271006813,The Guardian,United Kingdom,Center left
United States of America,North America,1. High income: OECD,28,1.0598031794095382,The Guardian,United Kingdom,Center left
Yemen,Asia,4. Lower middle income,2,0.0757002271006813,The Guardian,United Kingdom,Center left
Zimbabwe,Africa,5. Low income,1,0.03785011355034065,The Guardian,United Kingdom,Center left
Afghanistan,Asia,5. Low income,348,0.4691987218379647,The Hindu,India,Center left
Albania,Europe,4. Lower middle income,2,0.0026965443783791,The Hindu,India,Center left
Algeria,Africa,3. Upper middle income,8,0.01078617751351642,The Hindu,India,Center left
Andorra,Europe,2. High income: nonOECD,14,0.01887581064865375,The Hindu,India,Center left
Angola,Africa,3. Upper middle income,1,0.00134827218918955,The Hindu,India,Center left
Antarctica,Antarctica,2. High income: nonOECD,1,0.00134827218918955,The Hindu,India,Center left
Antigua and Barbuda,North America,3. Upper middle income,1,0.00134827218918955,The Hindu,India,Center left
Argentina,South America,3. Upper middle income,45,0.06067224851352991,The Hindu,India,Center left
Armenia,Asia,4. Lower middle income,29,0.03909989348649705,The Hindu,India,Center left
Australia,Oceania,1. High income: OECD,343,0.4624573608920168,The Hindu,India,Center left
Austria,Europe,1. High income: OECD,14,0.01887581064865375,The Hindu,India,Center left
Azerbaijan,Asia,3. Upper middle income,6,0.00808963313513732,The Hindu,India,Center left
Bahrain,Asia,2. High income: nonOECD,5,0.00674136094594776,The Hindu,India,Center left
Bangladesh,Asia,5. Low income,176,0.2372959052973614,The Hindu,India,Center left
Barbados,North America,2. High income: nonOECD,6,0.00808963313513732,The Hindu,India,Center left
Belarus,Europe,3. Upper middle income,23,0.03101026035135973,The Hindu,India,Center left
Belgium,Europe,1. High income: OECD,19,0.02561717159460152,The Hindu,India,Center left
Benin,Africa,5. Low income,2,0.0026965443783791,The Hindu,India,Center left
Bhutan,Asia,4. Lower middle income,18,0.02426889940541196,The Hindu,India,Center left
Bosnia and Herzegovina,Europe,3. Upper middle income,1,0.00134827218918955,The Hindu,India,Center left
Botswana,Africa,3. Upper middle income,3,0.00404481656756866,The Hindu,India,Center left
Brazil,South America,3. Upper middle income,75,0.10112041418921652,The Hindu,India,Center left
Bulgaria,Europe,3. Upper middle income,9,0.01213444970270598,The Hindu,India,Center left
Burkina Faso,Africa,5. Low income,5,0.00674136094594776,The Hindu,India,Center left
Cambodia,Asia,5. Low income,2,0.0026965443783791,The Hindu,India,Center left
Cameroon,Africa,4. Lower middle income,2,0.0026965443783791,The Hindu,India,Center left
Canada,North America,1. High income: OECD,178,0.23999244967574057,The Hindu,India,Center left
Central African Republic,Africa,5. Low income,2,0.0026965443783791,The Hindu,India,Center left
Chad,Africa,5. Low income,14,0.01887581064865375,The Hindu,India,Center left
Chile,South America,3. Upper middle income,8,0.01078617751351642,The Hindu,India,Center left
China,Asia,3. Upper middle income,692,0.9330043549191712,The Hindu,India,Center left
Colombia,South America,3. Upper middle income,13,0.01752753845946419,The Hindu,India,Center left
Costa Rica,North America,3. Upper middle income,3,0.00404481656756866,The Hindu,India,Center left
Croatia,Europe,2. High income: nonOECD,11,0.01483099408108508,The Hindu,India,Center left
Cuba,North America,3. Upper middle income,50,0.06741360945947768,The Hindu,India,Center left
Czechia,Europe,1. High income: OECD,15,0.0202240828378433,The Hindu,India,Center left
Democratic Republic of the Congo,Africa,5. Low income,1281,1.7271366743518182,The Hindu,India,Center left
Denmark,Europe,1. High income: OECD,20,0.02696544378379107,The Hindu,India,Center left
Djibouti,Africa,4. Lower middle income,1,0.00134827218918955,The Hindu,India,Center left
Dominica,North America,3. Upper middle income,14,0.01887581064865375,The Hindu,India,Center left
Ecuador,South America,3. Upper middle income,6,0.00808963313513732,The Hindu,India,Center left
Egypt,Africa,4. Lower middle income,18,0.02426889940541196,The Hindu,India,Center left
El Salvador,North America,4. Lower middle income,37,0.04988607100001348,The Hindu,India,Center left
Eritrea,Africa,5. Low income,110,0.1483099408108509,The Hindu,India,Center left
Estonia,Europe,1. High income: OECD,36,0.04853779881082393,The Hindu,India,Center left
Ethiopia,Africa,5. Low income,43,0.0579757041351508,The Hindu,India,Center left
Faroe Islands,Europe,2. High income: nonOECD,15,0.0202240828378433,The Hindu,India,Center left
Finland,Europe,1. High income: OECD,8,0.01078617751351642,The Hindu,India,Center left
France,Europe,1. High income: OECD,151,0.20358910056762256,The Hindu,India,Center left
Gabon,Africa,3. Upper middle income,4,0.00539308875675821,The Hindu,India,Center left
Gambia,Africa,5. Low income,1,0.00134827218918955,The Hindu,India,Center left
Georgia,Asia,4. Lower middle income,10,0.01348272189189553,The Hindu,India,Center left
Germany,Europe,1. High income: OECD,132,0.17797192897302103,The Hindu,India,Center left
Ghana,Africa,4. Lower middle income,5,0.00674136094594776,The Hindu,India,Center left
Greece,Europe,1. High income: OECD,11,0.01483099408108508,The Hindu,India,Center left
Greenland,North America,2. High income: nonOECD,3,0.00404481656756866,The Hindu,India,Center left
Grenada,North America,3. Upper middle income,22,0.02966198816217017,The Hindu,India,Center left
Guam,Oceania,2. High income: nonOECD,2,0.0026965443783791,The Hindu,India,Center left
Guatemala,North America,4. Lower middle income,3,0.00404481656756866,The Hindu,India,Center left
Guinea,Africa,5. Low income,20,0.02696544378379107,The Hindu,India,Center left
Haiti,North America,5. Low income,49,0.06606533727028813,The Hindu,India,Center left
Honduras,North America,4. Lower middle income,5,0.00674136094594776,The Hindu,India,Center left
Hong Kong S.A.R.,Asia,2. High income: nonOECD,281,0.37886448516226456,The Hindu,India,Center left
Hungary,Europe,1. High income: OECD,15,0.0202240828378433,The Hindu,India,Center left
Iceland,Europe,1. High income: OECD,5,0.00674136094594776,The Hindu,India,Center left
Indonesia,Asia,4. Lower middle income,49,0.06606533727028813,The Hindu,India,Center left
Iran,Asia,3. Upper middle income,825,1.1123245560813817,The Hindu,India,Center left
Iraq,Asia,4. Lower middle income,38,0.05123434318920304,The Hindu,India,Center left
Ireland,Europe,1. High income: OECD,125,0.1685340236486942,The Hindu,India,Center left
Israel,Asia,1. High income: OECD,177,0.23864417748655095,The Hindu,India,Center left
Italy,Europe,1. High income: OECD,105,0.14156857986490312,The Hindu,India,Center left
Ivory Coast,Africa,4. Lower middle income,2,0.0026965443783791,The Hindu,India,Center left
Japan,Asia,1. High income: OECD,518,0.6984049940001889,The Hindu,India,Center left
Jersey,Europe,2. High income: nonOECD,8,0.01078617751351642,The Hindu,India,Center left
Jordan,Asia,3. Upper middle income,11,0.01483099408108508,The Hindu,India,Center left
Kazakhstan,Asia,3. Upper middle income,5,0.00674136094594776,The Hindu,India,Center left
Kenya,Africa,5. Low income,3,0.00404481656756866,The Hindu,India,Center left
Kosovo,Europe,4. Lower middle income,3,0.00404481656756866,The Hindu,India,Center left
Kuwait,Asia,2. High income: nonOECD,7,0.00943790532432687,The Hindu,India,Center left
Kyrgyzstan,Asia,5. Low income,4,0.00539308875675821,The Hindu,India,Center left
Laos,Asia,4. Lower middle income,2,0.0026965443783791,The Hindu,India,Center left
Lebanon,Asia,3. Upper middle income,25,0.03370680472973884,The Hindu,India,Center left
Liberia,Africa,5. Low income,46,0.06202052070271946,The Hindu,India,Center left
Libya,Africa,3. Upper middle income,25,0.03370680472973884,The Hindu,India,Center left
Lithuania,Europe,3. Upper middle income,6,0.00808963313513732,The Hindu,India,Center left
Macao S.A.R,Asia,2. High income: nonOECD,3,0.00404481656756866,The Hindu,India,Center left
Madagascar,Africa,5. Low income,1,0.00134827218918955,The Hindu,India,Center left
Malaysia,Asia,3. Upper middle income,42,0.05662743194596124,The Hindu,India,Center left
Maldives,Seven seas (open ocean),3. Upper middle income,26,0.03505507691892839,The Hindu,India,Center left
Mali,Africa,5. Low income,126,0.16988229583788375,The Hindu,India,Center left
Malta,Europe,2. High income: nonOECD,3,0.00404481656756866,The Hindu,India,Center left
Mauritania,Africa,5. Low income,1,0.00134827218918955,The Hindu,India,Center left
Mauritius,Seven seas (open ocean),3. Upper middle income,4,0.00539308875675821,The Hindu,India,Center left
Mexico,North America,3. Upper middle income,53,0.07145842602704634,The Hindu,India,Center left
Monaco,Europe,2. High income: nonOECD,11,0.01483099408108508,The Hindu,India,Center left
Mongolia,Asia,4. Lower middle income,2,0.0026965443783791,The Hindu,India,Center left
Morocco,Africa,4. Lower middle income,10,0.01348272189189553,The Hindu,India,Center left
Myanmar,Asia,5. Low income,108,0.1456133964324718,The Hindu,India,Center left
Namibia,Africa,3. Upper middle income,15,0.0202240828378433,The Hindu,India,Center left
Nauru,Oceania,4. Lower middle income,8,0.01078617751351642,The Hindu,India,Center left
Nepal,Asia,5. Low income,70,0.09437905324326874,The Hindu,India,Center left
Netherlands,Europe,1. High income: OECD,38,0.05123434318920304,The Hindu,India,Center left
New Zealand,Oceania,1. High income: OECD,102,0.13752376329733446,The Hindu,India,Center left
Nicaragua,North America,4. Lower middle income,4,0.00539308875675821,The Hindu,India,Center left
Niger,Africa,5. Low income,35,0.04718952662163437,The Hindu,India,Center left
Nigeria,Africa,4. Lower middle income,51,0.06876188164866723,The Hindu,India,Center left
Niue,Oceania,3. Upper middle income,14,0.01887581064865375,The Hindu,India,Center left
North Korea,Asia,5. Low income,29,0.03909989348649705,The Hindu,India,Center left
North Macedonia,Europe,3. Upper middle income,2,0.0026965443783791,The Hindu,India,Center left
Norway,Europe,1. High income: OECD,11,0.01483099408108508,The Hindu,India,Center left
Oman,Asia,2. High income: nonOECD,66,0.08898596448651053,The Hindu,India,Center left
Pakistan,Asia,4. Lower middle income,391,0.5271744259731154,The Hindu,India,Center left
Palau,Oceania,3. Upper middle income,224,0.30201297037846,The Hindu,India,Center left
Palestine,Asia,4. Lower middle income,28,0.0377516212973075,The Hindu,India,Center left
Panama,North America,3. Upper middle income,10,0.01348272189189553,The Hindu,India,Center left
Papua New Guinea,Oceania,4. Lower middle income,5,0.00674136094594776,The Hindu,India,Center left
Paraguay,South America,4. Lower middle income,8,0.01078617751351642,The Hindu,India,Center left
Peru,South America,3. Upper middle income,65,0.08763769229732098,The Hindu,India,Center left
Philippines,Asia,4. Lower middle income,19,0.02561717159460152,The Hindu,India,Center left
Poland,Europe,1. High income: OECD,35,0.04718952662163437,The Hindu,India,Center left
Portugal,Europe,1. High income: OECD,76,0.10246868637840607,The Hindu,India,Center left
Puerto Rico,North America,2. High income: nonOECD,1,0.00134827218918955,The Hindu,India,Center left
Qatar,Asia,2. High income: nonOECD,45,0.06067224851352991,The Hindu,India,Center left
Republic of Serbia,Europe,3. Upper middle income,20,0.02696544378379107,The Hindu,India,Center left
Romania,Europe,3. Upper middle income,6,0.00808963313513732,The Hindu,India,Center left
Russia,Europe,3. Upper middle income,266,0.35864040232442124,The Hindu,India,Center left
Rwanda,Africa,5. Low income,4,0.00539308875675821,The Hindu,India,Center left
Saint Helena,Seven seas (open ocean),4. Lower middle income,1,0.00134827218918955,The Hindu,India,Center left
Samoa,Oceania,4. Lower middle income,2,0.0026965443783791,The Hindu,India,Center left
San Marino,Europe,2. High income: nonOECD,2,0.0026965443783791,The Hindu,India,Center left
Saudi Arabia,Asia,2. High income: nonOECD,58,0.07819978697299411,The Hindu,India,Center left
Senegal,Africa,4. Lower middle income,11,0.01483099408108508,The Hindu,India,Center left
Seychelles,Seven seas (open ocean),3. Upper middle income,1,0.00134827218918955,The Hindu,India,Center left
Siachen Glacier,Asia,4. Lower middle income,1,0.00134827218918955,The Hindu,India,Center left
Sierra Leone,Africa,5. Low income,80,0.10786177513516428,The Hindu,India,Center left
Singapore,Asia,2. High income: nonOECD,51,0.06876188164866723,The Hindu,India,Center left
Slovakia,Europe,1. High income: OECD,2,0.0026965443783791,The Hindu,India,Center left
Slovenia,Europe,1. High income: OECD,1,0.00134827218918955,The Hindu,India,Center left
Solomon Islands,Oceania,4. Lower middle income,1,0.00134827218918955,The Hindu,India,Center left
Somalia,Africa,5. Low income,7,0.00943790532432687,The Hindu,India,Center left
South Africa,Africa,3. Upper middle income,103,0.13887203548652402,The Hindu,India,Center left
South Korea,Asia,1. High income: OECD,156,0.21033046151357035,The Hindu,India,Center left
South Sudan,Africa,5. Low income,4,0.00539308875675821,The Hindu,India,Center left
Spain,Europe,1. High income: OECD,45,0.06067224851352991,The Hindu,India,Center left
Sri Lanka,Asia,4. Lower middle income,622,0.8386253016759023,The Hindu,India,Center left
Sudan,Africa,4. Lower middle income,43,0.0579757041351508,The Hindu,India,Center left
Sweden,Europe,1. High income: OECD,25,0.03370680472973884,The Hindu,India,Center left
Switzerland,Europe,1. High income: OECD,30,0.0404481656756866,The Hindu,India,Center left
Syria,Asia,4. Lower middle income,43,0.0579757041351508,The Hindu,India,Center left
Taiwan,Asia,2. High income: nonOECD,77,0.10381695856759564,The Hindu,India,Center left
Tajikistan,Asia,5. Low income,3,0.00404481656756866,The Hindu,India,Center left
Thailand,Asia,3. Upper middle income,38,0.05123434318920304,The Hindu,India,Center left
The Bahamas,North America,2. High income: nonOECD,16,0.02157235502703285,The Hindu,India,Center left
Togo,Africa,5. Low income,1,0.00134827218918955,The Hindu,India,Center left
Tonga,Oceania,4. Lower middle income,9,0.01213444970270598,The Hindu,India,Center left
Tunisia,Africa,3. Upper middle income,16,0.02157235502703285,The Hindu,India,Center left
Turkey,Asia,3. Upper middle income,38,0.05123434318920304,The Hindu,India,Center left
Tuvalu,Oceania,3. Upper middle income,2,0.0026965443783791,The Hindu,India,Center left
Uganda,Africa,5. Low income,14,0.01887581064865375,The Hindu,India,Center left
Ukraine,Europe,4. Lower middle income,21,0.02831371597298062,The Hindu,India,Center left
United Arab Emirates,Asia,2. High income: nonOECD,14,0.01887581064865375,The Hindu,India,Center left
United Kingdom,Europe,1. High income: OECD,949,1.2795103075408865,The Hindu,India,Center left
United Republic of Tanzania,Africa,5. Low income,2,0.0026965443783791,The Hindu,India,Center left
United States of America,North America,1. High income: OECD,165,0.22246491121627637,The Hindu,India,Center left
Uruguay,South America,3. Upper middle income,88,0.11864795264868072,The Hindu,India,Center left
Uzbekistan,Asia,4. Lower middle income,4,0.00539308875675821,The Hindu,India,Center left
Vatican,Europe,2. High income: nonOECD,12,0.01617926627027464,The Hindu,India,Center left
Venezuela,South America,3. Upper middle income,15,0.0202240828378433,The Hindu,India,Center left
Vietnam,Asia,4. Lower middle income,15,0.0202240828378433,The Hindu,India,Center left
Western Sahara,Africa,5. Low income,1,0.00134827218918955,The Hindu,India,Center left
