ADMIN2,CONTINENT,INCOME_GRP,count,rate,source,source_country,orientation
Venezuela,South America,3. Upper middle income,1,0.059844404548174746,Figaro,France,Center right
Afghanistan,Asia,5. Low income,10,0.42426813746287656,Fox News,United States of America,Center right
Armenia,Asia,4. Lower middle income,1,0.04242681374628765,Fox News,United States of America,Center right
Australia,Oceania,1. High income: OECD,7,0.2969876962240136,Fox News,United States of America,Center right
Austria,Europe,1. High income: OECD,1,0.04242681374628765,Fox News,United States of America,Center right
Barbados,North America,2. High income: nonOECD,2,0.0848536274925753,Fox News,United States of America,Center right
Canada,North America,1. High income: OECD,2,0.0848536274925753,Fox News,United States of America,Center right
Chad,Africa,5. Low income,2,0.0848536274925753,Fox News,United States of America,Center right
Chile,South America,3. Upper middle income,1,0.04242681374628765,Fox News,United States of America,Center right
China,Asia,3. Upper middle income,35,1.484938481120068,Fox News,United States of America,Center right
Cuba,North America,3. Upper middle income,3,0.12728044123886295,Fox News,United States of America,Center right
Cyprus,Asia,2. High income: nonOECD,1,0.04242681374628765,Fox News,United States of America,Center right
Democratic Republic of the Congo,Africa,5. Low income,20,0.8485362749257531,Fox News,United States of America,Center right
Ecuador,South America,3. Upper middle income,1,0.04242681374628765,Fox News,United States of America,Center right
Eritrea,Africa,5. Low income,5,0.21213406873143828,Fox News,United States of America,Center right
Estonia,Europe,1. High income: OECD,3,0.12728044123886295,Fox News,United States of America,Center right
Finland,Europe,1. High income: OECD,1,0.04242681374628765,Fox News,United States of America,Center right
France,Europe,1. High income: OECD,3,0.12728044123886295,Fox News,United States of America,Center right
Georgia,Asia,4. Lower middle income,12,0.5091217649554518,Fox News,United States of America,Center right
Guam,Oceania,2. High income: nonOECD,2,0.0848536274925753,Fox News,United States of America,Center right
Haiti,North America,5. Low income,1,0.04242681374628765,Fox News,United States of America,Center right
Hong Kong S.A.R.,Asia,2. High income: nonOECD,4,0.1697072549851506,Fox News,United States of America,Center right
India,Asia,4. Lower middle income,19,0.8061094611794655,Fox News,United States of America,Center right
Indonesia,Asia,4. Lower middle income,2,0.0848536274925753,Fox News,United States of America,Center right
Iran,Asia,3. Upper middle income,27,1.145523971149767,Fox News,United States of America,Center right
Iraq,Asia,4. Lower middle income,1,0.04242681374628765,Fox News,United States of America,Center right
Israel,Asia,1. High income: OECD,3,0.12728044123886295,Fox News,United States of America,Center right
Italy,Europe,1. High income: OECD,5,0.21213406873143828,Fox News,United States of America,Center right
Japan,Asia,1. High income: OECD,2,0.0848536274925753,Fox News,United States of America,Center right
Jersey,Europe,2. High income: nonOECD,1,0.04242681374628765,Fox News,United States of America,Center right
Jordan,Asia,3. Upper middle income,6,0.2545608824777259,Fox News,United States of America,Center right
Kenya,Africa,5. Low income,1,0.04242681374628765,Fox News,United States of America,Center right
Liberia,Africa,5. Low income,39,1.6546457361052185,Fox News,United States of America,Center right
Mali,Africa,5. Low income,2,0.0848536274925753,Fox News,United States of America,Center right
Mexico,North America,3. Upper middle income,8,0.3394145099703012,Fox News,United States of America,Center right
Monaco,Europe,2. High income: nonOECD,2,0.0848536274925753,Fox News,United States of America,Center right
New Zealand,Oceania,1. High income: OECD,2,0.0848536274925753,Fox News,United States of America,Center right
Niue,Oceania,3. Upper middle income,1,0.04242681374628765,Fox News,United States of America,Center right
Oman,Asia,2. High income: nonOECD,1,0.04242681374628765,Fox News,United States of America,Center right
Palau,Oceania,3. Upper middle income,1,0.04242681374628765,Fox News,United States of America,Center right
Paraguay,South America,4. Lower middle income,2,0.0848536274925753,Fox News,United States of America,Center right
Poland,Europe,1. High income: OECD,6,0.2545608824777259,Fox News,United States of America,Center right
Portugal,Europe,1. High income: OECD,1,0.04242681374628765,Fox News,United States of America,Center right
Russia,Europe,3. Upper middle income,21,0.8909630886720408,Fox News,United States of America,Center right
South Africa,Africa,3. Upper middle income,2,0.0848536274925753,Fox News,United States of America,Center right
Syria,Asia,4. Lower middle income,2,0.0848536274925753,Fox News,United States of America,Center right
Taiwan,Asia,2. High income: nonOECD,4,0.1697072549851506,Fox News,United States of America,Center right
Turkey,Asia,3. Upper middle income,1,0.04242681374628765,Fox News,United States of America,Center right
Ukraine,Europe,4. Lower middle income,14,0.5939753924480272,Fox News,United States of America,Center right
United Kingdom,Europe,1. High income: OECD,59,2.5031820110309715,Fox News,United States of America,Center right
Afghanistan,Asia,5. Low income,5,0.2002402883460152,The Guardian,United Kingdom,Center left
Australia,Oceania,1. High income: OECD,54,2.1625951141369644,The Guardian,United Kingdom,Center left
Austria,Europe,1. High income: OECD,4,0.16019223067681218,The Guardian,United Kingdom,Center left
Bangladesh,Asia,5. Low income,2,0.08009611533840609,The Guardian,United Kingdom,Center left
Barbados,North America,2. High income: nonOECD,10,0.4004805766920304,The Guardian,United Kingdom,Center left
Belarus,Europe,3. Upper middle income,4,0.16019223067681218,The Guardian,United Kingdom,Center left
Belgium,Europe,1. High income: OECD,6,0.24028834601521823,The Guardian,United Kingdom,Center left
Bhutan,Asia,4. Lower middle income,1,0.040048057669203045,The Guardian,United Kingdom,Center left
Bosnia and Herzegovina,Europe,3. Upper middle income,4,0.16019223067681218,The Guardian,United Kingdom,Center left
Brazil,South America,3. Upper middle income,3,0.12014417300760911,The Guardian,United Kingdom,Center left
Cameroon,Africa,4. Lower middle income,1,0.040048057669203045,The Guardian,United Kingdom,Center left
Canada,North America,1. High income: OECD,9,0.3604325190228274,The Guardian,United Kingdom,Center left
Chile,South America,3. Upper middle income,4,0.16019223067681218,The Guardian,United Kingdom,Center left
China,Asia,3. Upper middle income,59,2.3628354024829794,The Guardian,United Kingdom,Center left
Colombia,South America,3. Upper middle income,3,0.12014417300760911,The Guardian,United Kingdom,Center left
Cook Islands,Oceania,3. Upper middle income,1,0.040048057669203045,The Guardian,United Kingdom,Center left
Czechia,Europe,1. High income: OECD,2,0.08009611533840609,The Guardian,United Kingdom,Center left
Democratic Republic of the Congo,Africa,5. Low income,10,0.4004805766920304,The Guardian,United Kingdom,Center left
Denmark,Europe,1. High income: OECD,6,0.24028834601521823,The Guardian,United Kingdom,Center left
El Salvador,North America,4. Lower middle income,2,0.08009611533840609,The Guardian,United Kingdom,Center left
Eritrea,Africa,5. Low income,7,0.2803364036844213,The Guardian,United Kingdom,Center left
Estonia,Europe,1. High income: OECD,2,0.08009611533840609,The Guardian,United Kingdom,Center left
Fiji,Oceania,4. Lower middle income,2,0.08009611533840609,The Guardian,United Kingdom,Center left
Finland,Europe,1. High income: OECD,3,0.12014417300760911,The Guardian,United Kingdom,Center left
France,Europe,1. High income: OECD,29,1.1613936724068885,The Guardian,United Kingdom,Center left
Gambia,Africa,5. Low income,2,0.08009611533840609,The Guardian,United Kingdom,Center left
Georgia,Asia,4. Lower middle income,2,0.08009611533840609,The Guardian,United Kingdom,Center left
Germany,Europe,1. High income: OECD,39,1.5618742490989186,The Guardian,United Kingdom,Center left
Ghana,Africa,4. Lower middle income,1,0.040048057669203045,The Guardian,United Kingdom,Center left
Greece,Europe,1. High income: OECD,2,0.08009611533840609,The Guardian,United Kingdom,Center left
Guernsey,Europe,2. High income: nonOECD,1,0.040048057669203045,The Guardian,United Kingdom,Center left
Guinea,Africa,5. Low income,2,0.08009611533840609,The Guardian,United Kingdom,Center left
Hong Kong S.A.R.,Asia,2. High income: nonOECD,18,0.7208650380456548,The Guardian,United Kingdom,Center left
Hungary,Europe,1. High income: OECD,3,0.12014417300760911,The Guardian,United Kingdom,Center left
India,Asia,4. Lower middle income,39,1.5618742490989186,The Guardian,United Kingdom,Center left
Indonesia,Asia,4. Lower middle income,2,0.08009611533840609,The Guardian,United Kingdom,Center left
Iran,Asia,3. Upper middle income,19,0.7609130957148579,The Guardian,United Kingdom,Center left
Iraq,Asia,4. Lower middle income,1,0.040048057669203045,The Guardian,United Kingdom,Center left
Ireland,Europe,1. High income: OECD,16,0.6407689227072487,The Guardian,United Kingdom,Center left
Israel,Asia,1. High income: OECD,11,0.4405286343612335,The Guardian,United Kingdom,Center left
Italy,Europe,1. High income: OECD,10,0.4004805766920304,The Guardian,United Kingdom,Center left
Jamaica,North America,3. Upper middle income,2,0.08009611533840609,The Guardian,United Kingdom,Center left
Japan,Asia,1. High income: OECD,16,0.6407689227072487,The Guardian,United Kingdom,Center left
Jersey,Europe,2. High income: nonOECD,1,0.040048057669203045,The Guardian,United Kingdom,Center left
Kenya,Africa,5. Low income,3,0.12014417300760911,The Guardian,United Kingdom,Center left
Kiribati,Oceania,4. Lower middle income,1,0.040048057669203045,The Guardian,United Kingdom,Center left
Kuwait,Asia,2. High income: nonOECD,1,0.040048057669203045,The Guardian,United Kingdom,Center left
Latvia,Europe,3. Upper middle income,2,0.08009611533840609,The Guardian,United Kingdom,Center left
Liberia,Africa,5. Low income,3,0.12014417300760911,The Guardian,United Kingdom,Center left
Mali,Africa,5. Low income,2,0.08009611533840609,The Guardian,United Kingdom,Center left
Malta,Europe,2. High income: nonOECD,2,0.08009611533840609,The Guardian,United Kingdom,Center left
Mexico,North America,3. Upper middle income,6,0.24028834601521823,The Guardian,United Kingdom,Center left
Myanmar,Asia,5. Low income,8,0.3203844613536244,The Guardian,United Kingdom,Center left
Netherlands,Europe,1. High income: OECD,7,0.2803364036844213,The Guardian,United Kingdom,Center left
New Caledonia,Oceania,2. High income: nonOECD,6,0.24028834601521823,The Guardian,United Kingdom,Center left
New Zealand,Oceania,1. High income: OECD,25,1.001201441730076,The Guardian,United Kingdom,Center left
Nicaragua,North America,4. Lower middle income,1,0.040048057669203045,The Guardian,United Kingdom,Center left
Niger,Africa,5. Low income,6,0.24028834601521823,The Guardian,United Kingdom,Center left
Nigeria,Africa,4. Lower middle income,8,0.3203844613536244,The Guardian,United Kingdom,Center left
Niue,Oceania,3. Upper middle income,1,0.040048057669203045,The Guardian,United Kingdom,Center left
Norway,Europe,1. High income: OECD,8,0.3203844613536244,The Guardian,United Kingdom,Center left
Oman,Asia,2. High income: nonOECD,4,0.16019223067681218,The Guardian,United Kingdom,Center left
Pakistan,Asia,4. Lower middle income,1,0.040048057669203045,The Guardian,United Kingdom,Center left
Palau,Oceania,3. Upper middle income,1,0.040048057669203045,The Guardian,United Kingdom,Center left
Papua New Guinea,Oceania,4. Lower middle income,2,0.08009611533840609,The Guardian,United Kingdom,Center left
Paraguay,South America,4. Lower middle income,1,0.040048057669203045,The Guardian,United Kingdom,Center left
Poland,Europe,1. High income: OECD,15,0.6007208650380457,The Guardian,United Kingdom,Center left
Portugal,Europe,1. High income: OECD,2,0.08009611533840609,The Guardian,United Kingdom,Center left
Qatar,Asia,2. High income: nonOECD,6,0.24028834601521823,The Guardian,United Kingdom,Center left
Republic of Serbia,Europe,3. Upper middle income,8,0.3203844613536244,The Guardian,United Kingdom,Center left
Russia,Europe,3. Upper middle income,37,1.4817781337605127,The Guardian,United Kingdom,Center left
Rwanda,Africa,5. Low income,1,0.040048057669203045,The Guardian,United Kingdom,Center left
Saint Helena,Seven seas (open ocean),4. Lower middle income,1,0.040048057669203045,The Guardian,United Kingdom,Center left
Saudi Arabia,Asia,2. High income: nonOECD,8,0.3203844613536244,The Guardian,United Kingdom,Center left
Sierra Leone,Africa,5. Low income,2,0.08009611533840609,The Guardian,United Kingdom,Center left
Singapore,Asia,2. High income: nonOECD,3,0.12014417300760911,The Guardian,United Kingdom,Center left
Slovakia,Europe,1. High income: OECD,4,0.16019223067681218,The Guardian,United Kingdom,Center left
South Africa,Africa,3. Upper middle income,19,0.7609130957148579,The Guardian,United Kingdom,Center left
South Korea,Asia,1. High income: OECD,16,0.6407689227072487,The Guardian,United Kingdom,Center left
Spain,Europe,1. High income: OECD,10,0.4004805766920304,The Guardian,United Kingdom,Center left
Sri Lanka,Asia,4. Lower middle income,3,0.12014417300760911,The Guardian,United Kingdom,Center left
Sudan,Africa,4. Lower middle income,1,0.040048057669203045,The Guardian,United Kingdom,Center left
Sweden,Europe,1. High income: OECD,3,0.12014417300760911,The Guardian,United Kingdom,Center left
Switzerland,Europe,1. High income: OECD,2,0.08009611533840609,The Guardian,United Kingdom,Center left
Syria,Asia,4. Lower middle income,1,0.040048057669203045,The Guardian,United Kingdom,Center left
Taiwan,Asia,2. High income: nonOECD,6,0.24028834601521823,The Guardian,United Kingdom,Center left
Thailand,Asia,3. Upper middle income,4,0.16019223067681218,The Guardian,United Kingdom,Center left
Turkey,Asia,3. Upper middle income,5,0.2002402883460152,The Guardian,United Kingdom,Center left
Ukraine,Europe,4. Lower middle income,12,0.4805766920304365,The Guardian,United Kingdom,Center left
United Arab Emirates,Asia,2. High income: nonOECD,2,0.08009611533840609,The Guardian,United Kingdom,Center left
United States of America,North America,1. High income: OECD,27,1.0812975570684822,The Guardian,United Kingdom,Center left
Yemen,Asia,4. Lower middle income,2,0.08009611533840609,The Guardian,United Kingdom,Center left
Zimbabwe,Africa,5. Low income,1,0.040048057669203045,The Guardian,United Kingdom,Center left
Afghanistan,Asia,5. Low income,348,0.46923668136402247,The Hindu,India,Center left
Albania,Europe,4. Lower middle income,2,0.002696762536574842,The Hindu,India,Center left
Algeria,Africa,3. Upper middle income,8,0.010787050146299368,The Hindu,India,Center left
Andorra,Europe,2. High income: nonOECD,14,0.01887733775602389,The Hindu,India,Center left
Angola,Africa,3. Upper middle income,1,0.001348381268287421,The Hindu,India,Center left
Antarctica,Antarctica,2. High income: nonOECD,1,0.001348381268287421,The Hindu,India,Center left
Antigua and Barbuda,North America,3. Upper middle income,1,0.001348381268287421,The Hindu,India,Center left
Argentina,South America,3. Upper middle income,45,0.06067715707293394,The Hindu,India,Center left
Armenia,Asia,4. Lower middle income,29,0.03910305678033521,The Hindu,India,Center left
Australia,Oceania,1. High income: OECD,343,0.46249477502258535,The Hindu,India,Center left
Austria,Europe,1. High income: OECD,14,0.01887733775602389,The Hindu,India,Center left
Azerbaijan,Asia,3. Upper middle income,6,0.008090287609724526,The Hindu,India,Center left
Bahrain,Asia,2. High income: nonOECD,5,0.006741906341437104,The Hindu,India,Center left
Bangladesh,Asia,5. Low income,176,0.2373151032185861,The Hindu,India,Center left
Barbados,North America,2. High income: nonOECD,6,0.008090287609724526,The Hindu,India,Center left
Belarus,Europe,3. Upper middle income,23,0.031012769170610684,The Hindu,India,Center left
Belgium,Europe,1. High income: OECD,19,0.025619244097461,The Hindu,India,Center left
Benin,Africa,5. Low income,2,0.002696762536574842,The Hindu,India,Center left
Bhutan,Asia,4. Lower middle income,18,0.024270862829173578,The Hindu,India,Center left
Bosnia and Herzegovina,Europe,3. Upper middle income,1,0.001348381268287421,The Hindu,India,Center left
Botswana,Africa,3. Upper middle income,3,0.004045143804862263,The Hindu,India,Center left
Brazil,South America,3. Upper middle income,75,0.10112859512155656,The Hindu,India,Center left
Bulgaria,Europe,3. Upper middle income,9,0.012135431414586789,The Hindu,India,Center left
Burkina Faso,Africa,5. Low income,5,0.006741906341437104,The Hindu,India,Center left
Cambodia,Asia,5. Low income,2,0.002696762536574842,The Hindu,India,Center left
Cameroon,Africa,4. Lower middle income,2,0.002696762536574842,The Hindu,India,Center left
Canada,North America,1. High income: OECD,178,0.24001186575516087,The Hindu,India,Center left
Central African Republic,Africa,5. Low income,2,0.002696762536574842,The Hindu,India,Center left
Chad,Africa,5. Low income,14,0.01887733775602389,The Hindu,India,Center left
Chile,South America,3. Upper middle income,8,0.010787050146299368,The Hindu,India,Center left
China,Asia,3. Upper middle income,692,0.9330798376548952,The Hindu,India,Center left
Colombia,South America,3. Upper middle income,13,0.01752895648773647,The Hindu,India,Center left
Costa Rica,North America,3. Upper middle income,3,0.004045143804862263,The Hindu,India,Center left
Croatia,Europe,2. High income: nonOECD,11,0.014832193951161627,The Hindu,India,Center left
Cuba,North America,3. Upper middle income,50,0.06741906341437105,The Hindu,India,Center left
Czechia,Europe,1. High income: OECD,15,0.020225719024311316,The Hindu,India,Center left
Democratic Republic of the Congo,Africa,5. Low income,1281,1.7272764046761862,The Hindu,India,Center left
Denmark,Europe,1. High income: OECD,20,0.026967625365748416,The Hindu,India,Center left
Djibouti,Africa,4. Lower middle income,1,0.001348381268287421,The Hindu,India,Center left
Dominica,North America,3. Upper middle income,14,0.01887733775602389,The Hindu,India,Center left
Ecuador,South America,3. Upper middle income,6,0.008090287609724526,The Hindu,India,Center left
Egypt,Africa,4. Lower middle income,18,0.024270862829173578,The Hindu,India,Center left
El Salvador,North America,4. Lower middle income,37,0.04989010692663458,The Hindu,India,Center left
Eritrea,Africa,5. Low income,110,0.14832193951161632,The Hindu,India,Center left
Estonia,Europe,1. High income: OECD,36,0.04854172565834716,The Hindu,India,Center left
Ethiopia,Africa,5. Low income,43,0.05798039453635911,The Hindu,India,Center left
Faroe Islands,Europe,2. High income: nonOECD,15,0.020225719024311316,The Hindu,India,Center left
Finland,Europe,1. High income: OECD,8,0.010787050146299368,The Hindu,India,Center left
France,Europe,1. High income: OECD,151,0.20360557151140052,The Hindu,India,Center left
Gabon,Africa,3. Upper middle income,4,0.005393525073149684,The Hindu,India,Center left
Gambia,Africa,5. Low income,1,0.001348381268287421,The Hindu,India,Center left
Georgia,Asia,4. Lower middle income,10,0.013483812682874208,The Hindu,India,Center left
Germany,Europe,1. High income: OECD,132,0.17798632741393958,The Hindu,India,Center left
Ghana,Africa,4. Lower middle income,5,0.006741906341437104,The Hindu,India,Center left
Greece,Europe,1. High income: OECD,11,0.014832193951161627,The Hindu,India,Center left
Greenland,North America,2. High income: nonOECD,3,0.004045143804862263,The Hindu,India,Center left
Grenada,North America,3. Upper middle income,22,0.029664387902323255,The Hindu,India,Center left
Guam,Oceania,2. High income: nonOECD,2,0.002696762536574842,The Hindu,India,Center left
Guatemala,North America,4. Lower middle income,3,0.004045143804862263,The Hindu,India,Center left
Guinea,Africa,5. Low income,20,0.026967625365748416,The Hindu,India,Center left
Haiti,North America,5. Low income,49,0.06607068214608362,The Hindu,India,Center left
Honduras,North America,4. Lower middle income,5,0.006741906341437104,The Hindu,India,Center left
Hong Kong S.A.R.,Asia,2. High income: nonOECD,281,0.37889513638876526,The Hindu,India,Center left
Hungary,Europe,1. High income: OECD,15,0.020225719024311316,The Hindu,India,Center left
Iceland,Europe,1. High income: OECD,5,0.006741906341437104,The Hindu,India,Center left
Indonesia,Asia,4. Lower middle income,49,0.06607068214608362,The Hindu,India,Center left
Iran,Asia,3. Upper middle income,825,1.1124145463371224,The Hindu,India,Center left
Iraq,Asia,4. Lower middle income,38,0.051238488194922,The Hindu,India,Center left
Ireland,Europe,1. High income: OECD,125,0.16854765853592762,The Hindu,India,Center left
Israel,Asia,1. High income: OECD,177,0.23866348448687352,The Hindu,India,Center left
Italy,Europe,1. High income: OECD,105,0.1415800331701792,The Hindu,India,Center left
Ivory Coast,Africa,4. Lower middle income,2,0.002696762536574842,The Hindu,India,Center left
Japan,Asia,1. High income: OECD,518,0.6984614969728841,The Hindu,India,Center left
Jersey,Europe,2. High income: nonOECD,8,0.010787050146299368,The Hindu,India,Center left
Jordan,Asia,3. Upper middle income,11,0.014832193951161627,The Hindu,India,Center left
Kazakhstan,Asia,3. Upper middle income,5,0.006741906341437104,The Hindu,India,Center left
Kenya,Africa,5. Low income,3,0.004045143804862263,The Hindu,India,Center left
Kosovo,Europe,4. Lower middle income,3,0.004045143804862263,The Hindu,India,Center left
Kuwait,Asia,2. High income: nonOECD,7,0.009438668878011949,The Hindu,India,Center left
Kyrgyzstan,Asia,5. Low income,4,0.005393525073149684,The Hindu,India,Center left
Laos,Asia,4. Lower middle income,2,0.002696762536574842,The Hindu,India,Center left
Lebanon,Asia,3. Upper middle income,25,0.033709531707185526,The Hindu,India,Center left
Liberia,Africa,5. Low income,46,0.06202553834122137,The Hindu,India,Center left
Libya,Africa,3. Upper middle income,25,0.033709531707185526,The Hindu,India,Center left
Lithuania,Europe,3. Upper middle income,6,0.008090287609724526,The Hindu,India,Center left
Macao S.A.R,Asia,2. High income: nonOECD,3,0.004045143804862263,The Hindu,India,Center left
Madagascar,Africa,5. Low income,1,0.001348381268287421,The Hindu,India,Center left
Malaysia,Asia,3. Upper middle income,42,0.056632013268071685,The Hindu,India,Center left
Maldives,Seven seas (open ocean),3. Upper middle income,26,0.03505791297547294,The Hindu,India,Center left
Mali,Africa,5. Low income,126,0.16989603980421503,The Hindu,India,Center left
Malta,Europe,2. High income: nonOECD,3,0.004045143804862263,The Hindu,India,Center left
Mauritania,Africa,5. Low income,1,0.001348381268287421,The Hindu,India,Center left
Mauritius,Seven seas (open ocean),3. Upper middle income,4,0.005393525073149684,The Hindu,India,Center left
Mexico,North America,3. Upper middle income,53,0.07146420721923331,The Hindu,India,Center left
Monaco,Europe,2. High income: nonOECD,11,0.014832193951161627,The Hindu,India,Center left
Mongolia,Asia,4. Lower middle income,2,0.002696762536574842,The Hindu,India,Center left
Morocco,Africa,4. Lower middle income,10,0.013483812682874208,The Hindu,India,Center left
Myanmar,Asia,5. Low income,108,0.14562517697504146,The Hindu,India,Center left
Namibia,Africa,3. Upper middle income,15,0.020225719024311316,The Hindu,India,Center left
Nauru,Oceania,4. Lower middle income,8,0.010787050146299368,The Hindu,India,Center left
Nepal,Asia,5. Low income,70,0.09438668878011948,The Hindu,India,Center left
Netherlands,Europe,1. High income: OECD,38,0.051238488194922,The Hindu,India,Center left
New Zealand,Oceania,1. High income: OECD,102,0.13753488936531694,The Hindu,India,Center left
Nicaragua,North America,4. Lower middle income,4,0.005393525073149684,The Hindu,India,Center left
Niger,Africa,5. Low income,35,0.04719334439005973,The Hindu,India,Center left
Nigeria,Africa,4. Lower middle income,51,0.06876744468265847,The Hindu,India,Center left
Niue,Oceania,3. Upper middle income,14,0.01887733775602389,The Hindu,India,Center left
North Korea,Asia,5. Low income,29,0.03910305678033521,The Hindu,India,Center left
North Macedonia,Europe,3. Upper middle income,2,0.002696762536574842,The Hindu,India,Center left
Norway,Europe,1. High income: OECD,11,0.014832193951161627,The Hindu,India,Center left
Oman,Asia,2. High income: nonOECD,69,0.09303830751183204,The Hindu,India,Center left
Pakistan,Asia,4. Lower middle income,391,0.5272170759003816,The Hindu,India,Center left
Palau,Oceania,3. Upper middle income,224,0.3020374040963823,The Hindu,India,Center left
Palestine,Asia,4. Lower middle income,28,0.03775467551204779,The Hindu,India,Center left
Panama,North America,3. Upper middle income,10,0.013483812682874208,The Hindu,India,Center left
Papua New Guinea,Oceania,4. Lower middle income,5,0.006741906341437104,The Hindu,India,Center left
Paraguay,South America,4. Lower middle income,8,0.010787050146299368,The Hindu,India,Center left
Peru,South America,3. Upper middle income,65,0.08764478243868236,The Hindu,India,Center left
Philippines,Asia,4. Lower middle income,19,0.025619244097461,The Hindu,India,Center left
Poland,Europe,1. High income: OECD,35,0.04719334439005973,The Hindu,India,Center left
Portugal,Europe,1. High income: OECD,76,0.102476976389844,The Hindu,India,Center left
Puerto Rico,North America,2. High income: nonOECD,1,0.001348381268287421,The Hindu,India,Center left
Qatar,Asia,2. High income: nonOECD,45,0.06067715707293394,The Hindu,India,Center left
Republic of Serbia,Europe,3. Upper middle income,20,0.026967625365748416,The Hindu,India,Center left
Romania,Europe,3. Upper middle income,6,0.008090287609724526,The Hindu,India,Center left
Russia,Europe,3. Upper middle income,266,0.358669417364454,The Hindu,India,Center left
Rwanda,Africa,5. Low income,4,0.005393525073149684,The Hindu,India,Center left
Saint Helena,Seven seas (open ocean),4. Lower middle income,1,0.001348381268287421,The Hindu,India,Center left
Samoa,Oceania,4. Lower middle income,2,0.002696762536574842,The Hindu,India,Center left
San Marino,Europe,2. High income: nonOECD,2,0.002696762536574842,The Hindu,India,Center left
Saudi Arabia,Asia,2. High income: nonOECD,58,0.07820611356067042,The Hindu,India,Center left
Senegal,Africa,4. Lower middle income,11,0.014832193951161627,The Hindu,India,Center left
Seychelles,Seven seas (open ocean),3. Upper middle income,1,0.001348381268287421,The Hindu,India,Center left
Siachen Glacier,Asia,4. Lower middle income,1,0.001348381268287421,The Hindu,India,Center left
Sierra Leone,Africa,5. Low income,80,0.10787050146299366,The Hindu,India,Center left
Singapore,Asia,2. High income: nonOECD,51,0.06876744468265847,The Hindu,India,Center left
Slovakia,Europe,1. High income: OECD,2,0.002696762536574842,The Hindu,India,Center left
Slovenia,Europe,1. High income: OECD,1,0.001348381268287421,The Hindu,India,Center left
Solomon Islands,Oceania,4. Lower middle income,1,0.001348381268287421,The Hindu,India,Center left
Somalia,Africa,5. Low income,7,0.009438668878011949,The Hindu,India,Center left
South Africa,Africa,3. Upper middle income,103,0.13888327063360434,The Hindu,India,Center left
South Korea,Asia,1. High income: OECD,156,0.2103474778528377,The Hindu,India,Center left
South Sudan,Africa,5. Low income,4,0.005393525073149684,The Hindu,India,Center left
Spain,Europe,1. High income: OECD,45,0.06067715707293394,The Hindu,India,Center left
Sri Lanka,Asia,4. Lower middle income,622,0.8386931488747758,The Hindu,India,Center left
Sudan,Africa,4. Lower middle income,43,0.05798039453635911,The Hindu,India,Center left
Sweden,Europe,1. High income: OECD,25,0.033709531707185526,The Hindu,India,Center left
Switzerland,Europe,1. High income: OECD,30,0.04045143804862263,The Hindu,India,Center left
Syria,Asia,4. Lower middle income,43,0.05798039453635911,The Hindu,India,Center left
Taiwan,Asia,2. High income: nonOECD,77,0.10382535765813142,The Hindu,India,Center left
Tajikistan,Asia,5. Low income,3,0.004045143804862263,The Hindu,India,Center left
Thailand,Asia,3. Upper middle income,38,0.051238488194922,The Hindu,India,Center left
The Bahamas,North America,2. High income: nonOECD,16,0.021574100292598736,The Hindu,India,Center left
Togo,Africa,5. Low income,1,0.001348381268287421,The Hindu,India,Center left
Tonga,Oceania,4. Lower middle income,9,0.012135431414586789,The Hindu,India,Center left
Tunisia,Africa,3. Upper middle income,16,0.021574100292598736,The Hindu,India,Center left
Turkey,Asia,3. Upper middle income,38,0.051238488194922,The Hindu,India,Center left
Tuvalu,Oceania,3. Upper middle income,2,0.002696762536574842,The Hindu,India,Center left
Uganda,Africa,5. Low income,14,0.01887733775602389,The Hindu,India,Center left
Ukraine,Europe,4. Lower middle income,21,0.02831600663403584,The Hindu,India,Center left
United Arab Emirates,Asia,2. High income: nonOECD,14,0.01887733775602389,The Hindu,India,Center left
United Kingdom,Europe,1. High income: OECD,949,1.2796138236047625,The Hindu,India,Center left
United Republic of Tanzania,Africa,5. Low income,2,0.002696762536574842,The Hindu,India,Center left
United States of America,North America,1. High income: OECD,165,0.2224829092674244,The Hindu,India,Center left
Uruguay,South America,3. Upper middle income,88,0.11865755160929305,The Hindu,India,Center left
Uzbekistan,Asia,4. Lower middle income,4,0.005393525073149684,The Hindu,India,Center left
Vatican,Europe,2. High income: nonOECD,12,0.016180575219449052,The Hindu,India,Center left
Venezuela,South America,3. Upper middle income,15,0.020225719024311316,The Hindu,India,Center left
Vietnam,Asia,4. Lower middle income,15,0.020225719024311316,The Hindu,India,Center left
Western Sahara,Africa,5. Low income,1,0.001348381268287421,The Hindu,India,Center left
Yemen,Asia,4. Lower middle income,22,0.029664387902323255,The Hindu,India,Center left
Zambia,Africa,4. Lower middle income,5,0.006741906341437104,The Hindu,India,Center left
Zimbabwe,Africa,5. Low income,5,0.006741906341437104,The Hindu,India,Center left
Algeria,Africa,3. Upper middle income,1,0.06341154090044387,Irish Independent,Ireland,Center right
Australia,Oceania,1. High income: OECD,7,0.4438807863031071,Irish Independent,Ireland,Center right
Austria,Europe,1. High income: OECD,1,0.06341154090044387,Irish Independent,Ireland,Center right
Barbados,North America,2. High income: nonOECD,2,0.12682308180088775,Irish Independent,Ireland,Center right
Belarus,Europe,3. Upper middle income,1,0.06341154090044387,Irish Independent,Ireland,Center right
Canada,North America,1. High income: OECD,1,0.06341154090044387,Irish Independent,Ireland,Center right
Colombia,South America,3. Upper middle income,2,0.12682308180088775,Irish Independent,Ireland,Center right
